2016-06-17 11:09:19 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:19 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:20 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:20 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:21 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:21 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:22 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:22 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:23 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:23 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:24 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:24 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:25 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:26 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:26 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:27 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:27 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:28 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:29 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:29 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:30 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:30 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:31 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:31 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:32 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:32 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:33 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:33 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:34 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:34 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:35 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:35 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:36 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:36 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:37 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:37 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:38 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:38 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:39 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:39 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:40 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:40 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:41 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:41 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:42 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:42 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:43 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:43 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:44 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:44 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:45 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:45 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:46 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:46 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:47 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:47 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:48 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:48 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:49 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:49 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:50 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:50 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:51 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:51 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:52 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:52 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:53 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:53 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:54 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:54 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:55 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:55 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:56 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:56 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:57 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:57 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:58 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:58 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:09:59 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:09:59 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:00 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:00 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:01 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:01 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
2016-06-17 11:10:02 [me.kuye.spider.util.ThreadPoolMonitor:23] - 解析页面线程池[monitor] [0/1] Active: 0, Completed: 0, queueSize: 0, Task: 0, isShutdown: false, isTerminated: false
2016-06-17 11:10:02 [me.kuye.spider.util.ThreadPoolMonitor:23] - 下载页面线程池[monitor] [1/5] Active: 1, Completed: 0, queueSize: 0, Task: 1, isShutdown: false, isTerminated: false
